"id","title","year","age","imdb","rotten_tomatoes","type"
3784,"Underworld: Evolution",2006,"18+",null,"76/100",0
3788,"Across the Universe",2007,"13+",null,"76/100",0
3821,"Resident Evil: Apocalypse",2004,"18+",null,"74/100",0
3861,"Breach",2007,"13+",null,"72/100",0
3838,"Robot & Frank",2012,"13+",null,"73/100",0
3848,"American Animals",2018,"18+",null,"72/100",0
3711,"The Girl with the Dragon Tattoo",2011,"18+",null,"84/100",0
3712,"Big Fish",2003,"13+",null,"84/100",0
3749,"Coherence",2013,"7+",null,"79/100",0
3759,"We Need to Talk About Kevin",2011,"18+",null,"78/100",0
3763,"Take Shelter",2011,"18+",null,"77/100",0
3740,"The Secret Life of Walter Mitty",2013,"7+",null,"80/100",0
3767,"The Judge",2014,"18+",null,"77/100",0
3723,"50/50",2011,"18+",null,"82/100",0
4941,"The Map of Tiny Perfect Things",2021,"13+",null,"69/100",0
4943,"30 Minutes or Less",2011,"16+",null,"69/100",0
4949,"The Green Hornet",2011,"13+",null,"69/100",0
4950,"Small Soldiers",1998,"13+",null,"69/100",0
4953,"Chisholm '72: Unbought & Unbossed",2004,null,null,"69/100",0
4956,"Pawn Sacrifice",2015,"13+",null,"69/100",0
4937,"Before I Go to Sleep",2014,"18+",null,"69/100",0
4957,"Newton",2017,null,null,"69/100",0
4959,"Dhoom",2004,"7+",null,"69/100",0
4960,"The Three Burials of Melquiades Estrada",2005,"18+",null,"69/100",0
4961,"Open Season",2006,"7+",null,"69/100",0
4962,"The Limey",1999,"18+",null,"69/100",0
4963,"Uncle Frank",2020,"18+",null,"69/100",0
4964,"Come and Get It",1936,null,null,"69/100",0
4958,"Rewind",2019,null,null,"69/100",0
4935,"Romeo and Juliet",1968,"7+",null,"69/100",0
4934,"My Man Godfrey",1936,null,null,"69/100",0
4933,"Europa Report",2013,"13+",null,"69/100",0
4912,"A Place in the Sun",1951,null,null,"70/100",0
4913,"True Grit",1969,"all",null,"70/100",0
4914,"Unsane",2018,"18+",null,"70/100",0
4918,"The Neon Demon",2016,"18+",null,"70/100",0
4919,"The Last Black Man in San Francisco",2019,"18+",null,"70/100",0
4921,"Two Night Stand",2014,"18+",null,"70/100",0
4922,"Coming 2 America",2021,"13+",null,"70/100",0
