"id","title","year","age","imdb","rotten_tomatoes","type"
4132,"The Kid",2019,"18+",null,"62/100",0
3959,"Diary of a Wimpy Kid",2010,"7+",null,"67/100",0
4204,"Teen Spirit",2019,"13+",null,"60/100",0
4187,"The Hunchback of Notre Dame",1923,null,null,"60/100",0
4864,"Pinocchio",2019,"13+",null,"72/100",0
4513,"The Flood",2019,null,null,"50/100",0
2171,"For the Birds",2018,null,null,"50/100",0
7654,"The Swap",1979,"18+",null,"42/100",0
9156,"The Strongest Man in the World",1975,"all",null,"54/100",0
9157,"Elephant",2020,"all",null,"54/100",0
9158,"The Mistle-Tones",2012,"7+",null,"54/100",0
9159,"Greyfriars Bobby: The True Story of a Dog",1961,"7+",null,"54/100",0
9160,"College Road Trip",2008,"all",null,"54/100",0
9162,"A Kid in King Arthur's Court",1995,"7+",null,"53/100",0
9155,"The Computer Wore Tennis Shoes",1969,"all",null,"54/100",0
9163,"Apollo: Missions to the Moon",2019,null,null,"53/100",0
9165,"The Proud Family Movie",2005,"all",null,"53/100",0
9166,"The Living Desert",1953,"all",null,"53/100",0
9167,"The Legend of Mor'du",2012,"all",null,"53/100",0
9168,"Iron Man & Captain America: Heroes United",2014,"7+",null,"53/100",0
9170,"Chip an' Dale",1947,null,null,"53/100",0
9171,"The Little Mermaid Live!",2019,"7+",null,"53/100",0
9164,"Winnie the Pooh: A Very Merry Pooh Year",2002,"all",null,"53/100",0
9154,"Titanic: 20 Years Later with James Cameron",2017,"7+",null,"54/100",0
9153,"The Shaggy D.A.",1976,"all",null,"54/100",0
9152,"Go Figure",2005,"all",null,"54/100",0
9134,"Ferdinand the Bull",1938,null,null,"54/100",0
9135,"Santa's Workshop",1932,null,null,"54/100",0
9136,"The Suite Life Movie",2011,"all",null,"54/100",0
9138,"How to Build a Better Boy",2014,"all",null,"54/100",0
9139,"Clock Cleaners",1937,null,null,"54/100",0
9140,"Lambert the Sheepish Lion",1952,null,null,"54/100",0
9141,"Zenon: The Zequel",2001,"all",null,"54/100",0
9142,"The Apple Dumpling Gang Rides Again",1979,"all",null,"54/100",0
9143,"Pluto's Christmas Tree",1952,null,null,"54/100",0
9145,"Snowball Express",1972,"all",null,"54/100",0
9146,"Herbie Goes Bananas",1980,"all",null,"54/100",0
9147,"Pixel Perfect",2004,"all",null,"54/100",0
9148,"Sharpay's Fabulous Adventure",2011,"all",null,"54/100",0
9149,"The Cheetah Girls: One World",2008,"all",null,"54/100",0
9151,"The Brave Little Toaster to the Rescue",1997,"all",null,"54/100",0
9172,"The Cheetah Girls 2",2006,"all",null,"53/100",0
9173,"Davy Crockett and the River Pirates",1956,"all",null,"53/100",0
9180,"Alley Cats Strike",2000,"all",null,"53/100",0
9181,"The Million Dollar Duck",1971,"all",null,"53/100",0
9211,"That Darn Cat",1997,"7+",null,"52/100",0
9212,"The Sandlot: Heading Home",2007,"7+",null,"51/100",0
9214,"Gus",1976,"all",null,"51/100",0
9215,"Lamp Life",2020,null,null,"51/100",0
9216,"The Hockey Champ",1939,null,null,"51/100",0
9217,"Doug's 1st Movie",1999,"all",null,"51/100",0
9218,"On Ice",1935,null,null,"51/100",0
9219,"Three Days",2001,"all",null,"51/100",0
9220,"Boat Builders",1938,null,null,"51/100",0
9221,"A Knight for a Day",1946,null,null,"51/100",0
9223,"Ruby Bridges",1998,"7+",null,"51/100",0
9225,"The Scream Team",2002,"7+",null,"51/100",0
9226,"Elmer Elephant",1936,"all",null,"51/100",0
9227,"Gotta Kick It Up!",2002,"all",null,"51/100",0
9228,"The Country Bears",2002,"all",null,"51/100",0
9209,"Right on Track",2003,"all",null,"52/100",0
9133,"MARS: Inside SpaceX",2018,"7+",null,"54/100",0
9208,"Tarzan & Jane",2002,"all",null,"52/100",0
9202,"How to Fish",1942,null,null,"52/100",0
9182,"Mr. Duck Steps Out",1940,"all",null,"52/100",0
9183,"Mr. Boogedy",1986,"all",null,"52/100",0
9184,"The Crimson Wing: Mystery of the Flamingos",2008,"all",null,"52/100",0
9185,"Snowglobe",2007,"7+",null,"52/100",0
9186,"Science Fair",2018,"7+",null,"52/100",0
9187,"The Art of Skiing",1941,null,null,"52/100",0
9188,"The Big Bad Wolf",1934,null,null,"52/100",0
9189,"Going to the Mat",2004,"all",null,"52/100",0
9191,"Quints",2000,"all",null,"52/100",0
9194,"How to Play Baseball",1942,null,null,"52/100",0
9195,"The Brave Little Toaster Goes to Mars",1998,"all",null,"52/100",0
9196,"All in a Nutshell",1949,null,null,"52/100",0
9198,"Hatching Pete",2009,"all",null,"52/100",0
9200,"Chef Donald",1941,null,null,"52/100",0
9201,"Tiger Cruise",2005,"7+",null,"52/100",0
9204,"Amy",1981,"all",null,"52/100",0
9229,"Miracle in Lane 2",2000,"all",null,"51/100",0
9132,"Benji the Hunted",1987,"all",null,"55/100",0
9130,"Double Teamed",2002,"all",null,"55/100",0
9054,"Smart House",1999,"all",null,"58/100",0
9055,"The Shaggy Dog",1959,"all",null,"58/100",0
9056,"Purl",2019,"7+",null,"58/100",0
9058,"The Adventures of Huck Finn",1993,"7+",null,"58/100",0
9060,"Confessions of a Teenage Drama Queen",2004,"7+",null,"58/100",0
9061,"Tom and Huck",1995,"7+",null,"58/100",0
9053,"Invisible Sister",2015,"all",null,"58/100",0
9062,"The Jungle Book 2",2003,"all",null,"58/100",0
9066,"The Incredible Journey",1963,"all",null,"57/100",0
9067,"Deep Blue",2003,"all",null,"57/100",0
9068,"Prom",2011,"7+",null,"57/100",0
9069,"Phineas and Ferb: Mission Marvel",2013,"all",null,"57/100",0
9070,"The Prince and the Pauper",1990,"all",null,"57/100",0
9072,"Bad Hair Day",2015,"all",null,"57/100",0
9065,"The Fox and the Hound 2",2006,"all",null,"57/100",0
9051,"Brink!",1998,"all",null,"58/100",0
9049,"Candleshoe",1977,"7+",null,"58/100",0
9048,"Return to Halloweentown",2006,"all",null,"58/100",0
9031,"Ice Age: The Great Egg-Scapade",2016,"7+",null,"59/100",0
9032,"Chimpanzee",2012,"all",null,"59/100",0
9033,"The Apple Dumpling Gang",1975,"all",null,"59/100",0
9034,"The Reluctant Dragon",1941,"all",null,"59/100",0
9035,"Avalon High",2011,"all",null,"59/100",0
9036,"Saludos Amigos",1942,null,null,"59/100",0
9037,"The Band Concert",1935,null,null,"59/100",0
9038,"Leroy & Stitch",2006,"all",null,"58/100",0
9039,"12 Dates of Christmas",2011,"7+",null,"58/100",0
9040,"Don't Look Under the Bed",1999,"7+",null,"58/100",0
9041,"Phineas and Ferb: Star Wars",2014,"all",null,"58/100",0
9043,"""Good Luck Charlie, It's Christmas!""",2011,"all",null,"58/100",0
9044,"I'll Be Home for Christmas",1998,"7+",null,"58/100",0
9046,"Mickey's Trailer",1938,null,null,"58/100",0
9047,"The Luck of the Irish",2001,"all",null,"58/100",0
9075,"The Cheetah Girls",2003,"all",null,"57/100",0
9077,"Twitches Too",2007,"7+",null,"57/100",0
9078,"Herbie Rides Again",1974,"all",null,"57/100",0
9080,"Tru Confessions",2002,"all",null,"57/100",0
9106,"Return from Witch Mountain",1978,"all",null,"56/100",0
9108,"Smash and Grab",2019,"7+",null,"56/100",0
9109,"Get a Clue",2002,"all",null,"56/100",0
9110,"Tall Tale",1995,"7+",null,"56/100",0
9111,"Red's Dream",1987,"all",null,"56/100",0
9113,"Frenemies",2012,"all",null,"56/100",0
9114,"Flowers and Trees",1932,null,null,"56/100",0
9115,"The Thirteenth Year",1999,"all",null,"56/100",0
9118,"Stuck in the Suburbs",2004,"all",null,"56/100",0
9119,"Penguins",2019,"all",null,"56/100",0
9120,"The Story of Robin Hood and His Merrie Men",1952,"7+",null,"56/100",0
9121,"Party Central",2014,"7+",null,"55/100",0
9125,"Phantom of the Megaplex",2000,"all",null,"55/100",0
9126,"Mom's Got a Date with a Vampire",2000,"7+",null,"55/100",0
9127,"Now You See It...",2005,"all",null,"55/100",0
9105,"Winnie the Pooh: Springtime with Roo",2004,"all",null,"56/100",0
