"title","genre"
"Sara's Notebook","""Dramas, International Movies, Thrillers"""
"Rare Exports: A Christmas Tale","""Action, Adventure, Comedy"""
"Gretel & Hansel","""Drama, Horror, Mystery"""
"Mr. Jones","""Drama, History, Thriller"""
"The Limehouse Golem","""Crime, Mystery, Thriller"""
"Open Water","""Adventure, Drama, Horror"""
"Monster Trucks","""Action, Adventure, Comedy"""
"Jawline","Documentaries"
"Enforcement","""Crime, Drama, Thriller"""
"Silk Road","""Crime, Drama, Thriller"""
"The Quake","""Action, Adventure, Horror"""
"Shadow in the Cloud","""Action, Adventure, Horror"""
"The Man Who Invented Christmas","""Drama, History"""
"Monos","""Adventure, International, Thriller"""
"Hearts Beat Loud","""Comedy, Drama, Music"""
"The Escort","""Comedy, Drama, Romance"""
"2 Days in Paris","""Comedy, Drama, Romance"""
"Ben Is Back","Drama"
"""Hello, My Name Is Doris""","""Comedy, Drama"""
"Unacknowledged","Documentaries"
"Beirut","""Drama, Thriller"""
"Wild Rose","""Comedy, Drama, Music"""
"Pan","""Action, Adventure, Family"""
"McQueen","Documentaries"
"The Man Who Killed Don Quixote","""Adventure, Comedy"""
"The Sitter","Comedy"
"Children of the Corn","Horror"
"Borgman","""Drama, International, Mystery"""
"Don't Think Twice","""Comedies, Dramas, Independent Movies"""
"Second Act","""Comedy, Romance"""
"How to Train Your Dragon: Homecoming","""Adventure, Family, Kids"""
"The Guilt Trip","""Comedy, Drama"""
"The Colony","""Action, Adventure, Horror"""
"The World to Come","""Drama, LGBTQ+, Romance"""
"We Are Freestyle Love Supreme","""Documentaries, Music"""
"Rebel in the Rye","""Drama, History"""
"Blair Witch","""Horror, Thriller"""
"A Field in England","""Drama, History, Horror"""
"They Came Together","""Comedy, Drama, Romance"""
"Totally Under Control","Documentaries"
"Once Upon a Time in Venice","""Action, Adventure, Comedy"""
"The Spy Next Door","""Action & Adventure, Children & Family Movies, Comedies"""
"The Rewrite","""Comedy, Romance"""
"Brian Banks","""Black Stories, Drama"""
"Assassination Nation","""Action, Comedy, LGBTQ+"""
"Soul Food","""Comedy, Drama"""
"Hail Satan?","Documentaries"
"Tiny Toon Adventures: How I Spent My Vacation","Kids"
"Little Fish","""Drama, Romance, Science Fiction"""
"Aniara","""Drama, Science Fiction"""
"Beach Rats","""Drama, LGBTQ+"""
"The Hero","""Comedy, Drama"""
"My Scientology Movie","Documentaries"
"The Little Hours","Comedy"
"Shirley","""Drama, Horror, Thriller"""
"Sweet Virginia","""Drama, Thriller"""
"A Beautiful Planet","""Documentaries, Kids"""
"The Indian in the Cupboard","""Drama, Family, Kids"""
"Amazing Grace","""Black Stories, Documentaries, Music"""
"Plus One","""Comedy, Romance"""
"Luce","""Black Stories, Drama"""
"I Still Believe","""Drama, Music, Romance"""
"Last Chance Harvey","""Drama, Romance"""
"The Tuxedo","""Action & Adventure, Comedies"""
"Fear of Rain","""Drama, Thriller"""
"Southbound","""Horror, Thriller"""
"Lo and Behold: Reveries of the Connected World","Documentaries"
"The Queen of Versailles","Documentaries"
"Intermission","""Comedy, Crime, Drama"""
"Lords of Chaos","""Drama, Horror, Music"""
"Playing It Cool","""Comedy, Drama, Romance"""
"The Rhythm Section","""Action, Thriller"""
"Charlotte's Web","""Children & Family Movies, Classic Movies"""
"AKA Jane Roe","""Documentaries, History"""
"My Friend Dahmer","""Drama, Horror"""
"Like Crazy","""Dramas, Independent Movies, Romantic Movies"""
"The November Man","Action & Adventure"
"The 33","Drama"
"Force Majeure","""Drama, International"""
"The Beatles: Eight Days a Week - The Touring Years","""Documentaries, Music"""
"In a World...","""Comedy, Drama"""
"The Forbidden Kingdom","""Action & Adventure, Sci-Fi & Fantasy"""
"Willy's Wonderland","""Action, Horror"""
"Young Adult","""Comedy, Drama, Romance"""
"The Biggest Little Farm","""Documentaries, Family"""
"Cartel Land","Documentaries"
"Mercury Rising","""Action, Crime, Drama"""
"Border","""International, Romance, Thriller"""
"The Art of Self-Defense","Comedy"
"Trolls World Tour","""Action, Adventure, Comedy"""
"Florence Foster Jenkins","""Comedy, Drama, International"""
"47 Meters Down","""Horror, Thriller"""
"Wayne's World 2","""Comedy, Music"""
"Free Fall","""Action, Adventure, Drama"""
"Colossal","""Comedy, Science Fiction"""
"Odd Thomas","Suspense"
"To Die For","""Comedy, Drama, Thriller"""
"Sputnik","""Horror, Science Fiction, Thriller"""
"The Iron Lady","Drama"
"From Paris with Love","""Action & Adventure, International Movies"""
"Arachnophobia","""Comedy, Horror"""
"Hud","""Drama, Western"""
"The Time Machine","""Action, Adventure, Science Fiction"""
"The Last Stand","""Action, Adventure"""
"Honeyland","Documentaries"
"Coyote Ugly","""Comedy, Drama, Romance"""
"El Dorado","""Action, Adventure"""
"Ingrid Goes West","Comedy"
"Zappa","""Documentaries, Music"""
"Sinbad: Legend of the Seven Seas","""Action, Adventure, Cartoons"""
"Some Kind of Heaven","Documentaries"
"Missing Link","""Action, Adventure, Comedy"""
"Red Dawn","""Action, Adventure"""
"Borg vs McEnroe","""Drama, International, Sports"""
"Babyteeth","""Comedy, Drama"""
"The United States vs. Billie Holiday","""Black Stories, Drama, History"""
"The Congress","""Adult Animation, Drama, Science Fiction"""
"Jesus Camp","Documentaries"
"A Hologram for the King","""Comedy, Drama"""
"The Connection","""Drama, Suspense"""
"The Haunting in Connecticut","""Drama, Horror, Thriller"""
"Destroyer","""Crime, Drama, Thriller"""
"McLintock!","""Comedy, Western"""
"The Assistant","Drama"
"Rookie of the Year","""Comedy, Family, Fantasy, Sport"""
"Grudge Match","Comedy"
"Spontaneous","""Comedy, Horror"""
"Ammonite","""Drama, LGBTQ+, Romance"""
"Two of Us","""Drama, International, LGBTQ+"""
"Dogman","""Crime, Drama, Thriller"""
"Timeline","""Action, Adventure, Science Fiction"""
"The Amazing Johnathan Documentary","Documentaries"
"Dora and the Lost City of Gold","""Adventure, Comedy, Kids"""
"Universal Soldier","""Action, Science Fiction"""
"The Addams Family","""Comedy, Kids"""
"Hollow Man","""Action, Horror, Science Fiction"""
"The Messenger","""Drama, Romance"""
"""20,000 Days on Earth""","Drama"
"Sightseers","""Comedy, International"""
"Rules of Engagement","""Comedy, Sitcom"""
"Diary of a Wimpy Kid","""Comedy, Drama, Family"""
"Antebellum","""Black Stories, Thriller"""
"Hellbound: Hellraiser II","Horror"
"I Feel Pretty","Comedy"
"Child's Play","Drama"
"The Hustle","Comedy"
"Super Dark Times","""Drama, Horror, Thriller"""
"Walking Tall","""Action, Adventure, Crime"""
"The Postcard Killings","""Drama, Horror, Mystery"""
"Barking Dogs Never Bite","""Comedy, International"""
"Maze","""Action, Drama"""
"Bull","Drama"
"Bad Hair","""Black Stories, Horror"""
"Little Joe","""Drama, Horror, Science Fiction"""
"The Orange Years: The Nickelodeon Story","Documentaries"
"The Fight","Documentaries"
"28 Hotel Rooms","Drama"
"The Mandela Effect","""Drama, Science Fiction"""
"Crypto","""Drama, Horror, Thriller"""
"A Score to Settle","""Action, Adventure, Horror"""
"WolfCop","""Comedy, Horror"""
"The Owners","Thriller"
"The Sweet Life","""Comedy, Drama, Romance"""
"The Panama Papers","Documentaries"
"The Ladies Man","Comedy"
"Getting Go: The Go Doc Project","""LGBTQ, Romance"""
"Neil Young: Heart of Gold","""Documentaries, Music"""
"The Final Member","""Documentaries, International"""
"Running with the Devil","""Action, Adventure, Crime"""
"You Cannot Kill David Arquette","Documentaries"
"100% Wolf","Comedy"
"Bad Company","""Adventure, Drama, Western"""
"Pilgrimage","""Action, Adventure, Drama"""
"Reaching for the Moon","""Arts, Entertainment, and Culture"""
"Night of the Kings","""Drama, International"""
"Overdrive","""Action, Adventure, Drama"""
"Stray","Documentaries"
"Open Water 2: Adrift","""Horror, Thriller"""
"Priceless","""Arthouse, Comedy, International"""
"False Positive","""Horror, Thriller"""
"The Osiris Child","""Action, Adventure, Horror"""
"The Doorman","""Action, Thriller"""
"Almost Adults","""Comedy, Drama, LGBTQ+"""
"Vita & Virginia","""Drama, LGBTQ+, Romance"""
"The 10 Year Plan","""Comedy, LGBTQ+, Romance"""
"A Kind of Murder","""Crime, Drama, Horror"""
"Suburban Gothic","""Comedy, Horror"""
"Above the Shadows","""Drama, Science Fiction"""
"Where Hope Grows","""Drama, Family"""
"Buddy Games","Comedy"
"XX","Horror"
"Rebuilding Paradise","Documentaries"
"Let the Sunshine In","""Comedy, Drama, International"""
"Above and Beyond","Documentaries"
"Valley Girl","Romance"
"The Feels","""Comedy, Drama, LGBTQ+"""
"My Little Pony: The Princess Promenade","""Action, Adventure, Family"""
"Someone Marry Barry","""Comedy, Romance"""
"Rogue","""Action, Drama"""
"Damsel","""Action, Adventure, Comedy"""
"I Declare War","""Action, Adventure, Comedy"""
"Shelley","""Horror, Thriller"""
"Body Cam","""Black Stories, Horror, Thriller"""
"Tesla","""Drama, History"""
"Zoom","""Children & Family Movies, Comedies"""
"Non-Fiction","""Comedy, Drama, International"""
"The Hornet's Nest","Documentary"
"Welcome Home Roscoe Jenkins","Comedies"
"The Other Man","""Drama, Mystery, Thriller"""
"The Other Lamb","""Drama, Horror"""
"The Houses October Built","Horror"
"Ozzy","""Action, Adventure, Comedy"""
"Once Were Brothers: Robbie Robertson and The Band","""Documentaries, Music"""
"Digging for Fire","""Drama, Mystery"""
"A Glitch in the Matrix","Documentaries"
"Good Deeds","""Black Stories, Drama, Romance"""
"The Face of Love","""Drama, Romance"""
"Stonewall","""Arts, Entertainment, and Culture, LGBTQ"""
"Hello I Must Be Going","""Comedy, Drama"""
"Racer and the Jailbird","""Crime, Drama, International"""
"Henry Gamble's Birthday Party","""Drama, LGBTQ+"""
"100 Streets","""Action, Drama, Suspense"""
"Judy","""Drama, History, Music"""
"Hannie Caulder","""Drama, Western"""
"The Furies","""Action, Adventure, Classics"""
"Cowboys","""Action, Adventure, Drama"""
"Tragedy Girls","""Comedy, Horror, Thriller"""
"The Man Who Killed Hitler and Then the Bigfoot","""Action, Adventure, Drama"""
"Vox Lux","""Drama, Music"""
"The Binge","Comedy"
"MLK/FBI","""Black Stories, Documentaries"""
"Daphne","""Drama, LGBTQ"""
"Support the Girls","""Black Stories, Comedy, Drama"""
"Blue Chips","""Drama, Sports"""
"Middle School: The Worst Years of My Life","""Children & Family Movies, Comedies"""
"In the Cut","Thrillers"
"The Courier","Action"
"The Festival","Comedy"
"68 Kill","""Comedy, Crime, Drama"""
"Proxima","""Action, Drama, Thriller"""
"2067","""Science Fiction, Thriller"""
"The Beach Bum","Comedy"
"The Kid","""Comedy, Family, Fantasy"""
"High Strung","Drama"
"Tooth Fairy","""Comedy, Family, Kids"""
"Chappaquiddick","Drama"
"Angel of Mine","""Drama, Horror, Mystery"""
"4th Man Out","""Comedy, Drama"""
"Band Aid","""Comedy, Drama, Music"""
"It's a Disaster","Comedy"
"I Am Greta","Documentaries"
"Dealt","Documentaries"
"The Unknown Girl","""Drama, International, Mystery"""
"The Painter and the Thief","""Documentaries, International"""
"The Keeping Room","""Action, Drama, Western"""
"Buffaloed","Comedy"
"Flower","""Comedy, Drama"""
"Miss Stevens","""Dramas, Independent Movies"""
"Factotum","""Comedy, Drama"""
"And So It Goes","""Comedy, Drama"""
"Batman & Bill","Documentaries"
"The Tax Collector","""Crime, Drama, Thriller"""
