"eventid","venueid","catid","dateid","eventname","starttime"
423,303,8,1827,"La Damnation de Faust","2008-01-01T19:30:00.000Z"
2099,211,7,1827,"The Bacchae","2008-01-01T19:30:00.000Z"
6640,38,9,1827,"Herbie Hancock","2008-01-01T19:30:00.000Z"
8621,9,9,1827,"Hot Chip","2008-01-01T19:00:00.000Z"
3979,127,9,1828,"Alkaline Trio","2008-01-02T14:30:00.000Z"
6780,29,9,1828,"Joan Baez","2008-01-02T14:00:00.000Z"
8678,9,9,1828,"Paramore","2008-01-02T19:00:00.000Z"
4373,12,9,1829,"Boz Scaggs","2008-01-03T15:00:00.000Z"
5763,129,9,1829,"Missy Higgins","2008-01-03T14:00:00.000Z"
8663,90,9,1829,"Killing Joke","2008-01-03T19:00:00.000Z"
50,305,8,1830,"Simon Boccanegra","2008-01-04T20:00:00.000Z"
1879,220,7,1830,"November","2008-01-04T20:00:00.000Z"
1902,206,7,1830,"The Country Girl","2008-01-04T14:30:00.000Z"
3351,228,7,1830,"The Frogs","2008-01-04T14:00:00.000Z"
3696,226,7,1830,"Iphigenia","2008-01-04T15:00:00.000Z"
4855,24,9,1830,"UB40","2008-01-04T15:00:00.000Z"
5002,122,9,1830,"English Beat","2008-01-04T19:30:00.000Z"
5494,115,9,1830,"John Hiatt","2008-01-04T14:00:00.000Z"
6270,98,9,1830,"Rodrigo y Gabriela","2008-01-04T14:00:00.000Z"
1736,253,6,1831,"Spamalot","2008-01-05T19:00:00.000Z"
1756,257,6,1831,"Phantom of the Opera","2008-01-05T19:30:00.000Z"
2903,235,7,1831,"Hamlet","2008-01-05T20:00:00.000Z"
3792,228,7,1831,"To Be or Not To Be","2008-01-05T20:00:00.000Z"
5028,63,9,1831,"Madonna","2008-01-05T19:00:00.000Z"
7259,98,9,1831,"Blues Brothers","2008-01-05T15:00:00.000Z"
7892,49,9,1831,"Bonnie Raitt","2008-01-05T14:00:00.000Z"
7979,9,9,1831,"David Sanborn","2008-01-05T14:00:00.000Z"
8538,26,9,1831,"Hall and Oates","2008-01-05T19:30:00.000Z"
204,303,8,1832,"Adriana Lecouvreur","2008-01-06T14:30:00.000Z"
797,233,6,1832,"Grease","2008-01-06T19:00:00.000Z"
1634,251,6,1832,"Blue Man Group","2008-01-06T19:00:00.000Z"
7441,55,9,1832,"America","2008-01-06T14:00:00.000Z"
8083,114,9,1832,"George Thorogood","2008-01-06T19:00:00.000Z"
6941,72,9,1833,"Crue Fest","2008-01-07T19:00:00.000Z"
7627,84,9,1833,"Hippiefest","2008-01-07T15:00:00.000Z"
178,303,8,1834,"Salome","2008-01-08T14:30:00.000Z"
2823,205,7,1834,"A Midsummer Night's Dream","2008-01-08T15:00:00.000Z"
5069,69,9,1834,"Smashing Pumpkins","2008-01-08T19:30:00.000Z"
6320,123,9,1834,"Jimmy Buffett","2008-01-08T14:00:00.000Z"
6609,53,9,1834,"Govt Mule","2008-01-08T19:00:00.000Z"
529,213,6,1835,"Jersey Boys","2008-01-09T19:00:00.000Z"
3855,60,9,1835,"Celine Dion","2008-01-09T15:00:00.000Z"
4068,46,9,1835,"Cowboy Junkies","2008-01-09T19:30:00.000Z"
5873,70,9,1835,"Natasha Bedingfield","2008-01-09T14:00:00.000Z"
8603,128,9,1835,"Fiction Plane","2008-01-09T19:30:00.000Z"
1209,223,6,1836,"Chicago","2008-01-10T14:00:00.000Z"
3753,247,7,1836,"The 39 Steps","2008-01-10T15:00:00.000Z"
4410,7,9,1836,"Linkin Park","2008-01-10T14:00:00.000Z"
6152,92,9,1836,"Coheed and Cambria","2008-01-10T19:30:00.000Z"
8724,21,9,1836,"Govt Mule","2008-01-10T15:00:00.000Z"
915,203,6,1837,"Dirty Dancing","2008-01-11T19:00:00.000Z"
1811,248,7,1837,"The Glass Menagerie","2008-01-11T14:30:00.000Z"
3173,227,7,1837,"The Farnsworth Invention","2008-01-11T14:00:00.000Z"
3617,211,7,1838,"For Colored Girls Who Have Considered Suicide When the Rainbow is Enuf","2008-01-12T19:30:00.000Z"
3625,209,7,1838,"Miss Julie","2008-01-12T19:00:00.000Z"
8445,3,9,1838,"Gary Allan","2008-01-12T15:00:00.000Z"
5955,25,9,1839,"Teena Marie","2008-01-13T19:30:00.000Z"
7483,47,9,1839,"Sara Bareilles","2008-01-13T15:00:00.000Z"
8051,47,9,1839,"Kanye West","2008-01-13T14:00:00.000Z"
8791,117,9,1839,"Teena Marie","2008-01-13T15:00:00.000Z"
1726,263,6,1840,"Folies Bergere","2008-01-14T14:00:00.000Z"
4839,25,9,1840,"Backstreet Boys","2008-01-14T19:00:00.000Z"
