"listid","sellerid","eventid","dateid","numtickets","priceperticket","totalprice","listtime"
2092,42560,8609,1827,22,194,4268,"2008-01-01T05:49:06.000"
614,25339,770,1827,10,236,2360,"2008-01-01T05:07:30.000"
9242,31448,7441,1827,14,88,1232,"2008-01-01T02:39:54.000"
776,20797,1811,1827,18,133,2394,"2008-01-01T06:59:39.000"
9730,8250,2772,1827,20,146,2920,"2008-01-01T09:46:40.000"
6635,30023,2426,1827,8,50,400,"2008-01-01T07:09:40.000"
11176,39919,5362,1827,12,107,1284,"2008-01-01T10:18:43.000"
7786,47561,117,1827,6,124,744,"2008-01-01T02:12:34.000"
11615,15795,5157,1827,4,221,884,"2008-01-01T06:02:18.000"
10654,32327,3173,1827,22,104,2288,"2008-01-01T02:14:21.000"
14295,13373,2088,1827,7,141,987,"2008-01-01T11:25:39.000"
11393,39543,7430,1827,16,164,2624,"2008-01-01T10:32:08.000"
14752,39605,1808,1827,1,233,233,"2008-01-01T07:51:56.000"
14613,40155,5515,1827,6,109,654,"2008-01-01T03:23:16.000"
18088,43964,6508,1827,9,131,1179,"2008-01-01T08:41:47.000"
19372,14767,5110,1827,26,196,5096,"2008-01-01T02:20:04.000"
18250,49317,6972,1827,28,201,5628,"2008-01-01T06:47:26.000"
25137,22180,5813,1827,20,201,4020,"2008-01-01T08:31:01.000"
21753,13808,7460,1827,8,151,1208,"2008-01-01T07:50:58.000"
25844,31966,8115,1827,7,114,798,"2008-01-01T11:33:44.000"
23135,9048,5414,1827,2,64,128,"2008-01-01T06:24:13.000"
25957,23943,5814,1827,28,132,3696,"2008-01-01T07:26:12.000"
27899,45200,5414,1827,2,63,126,"2008-01-01T02:40:12.000"
30042,26014,7923,1827,6,245,1470,"2008-01-01T08:15:54.000"
30987,7459,7095,1827,1,291,291,"2008-01-01T08:11:05.000"
30480,17947,6200,1827,26,194,5044,"2008-01-01T12:55:57.000"
31790,42720,8239,1827,14,54,756,"2008-01-01T07:52:27.000"
31077,10514,529,1827,14,305,4270,"2008-01-01T01:29:59.000"
33644,7841,1242,1827,2,219,438,"2008-01-01T06:50:53.000"
31647,25522,1821,1827,14,285,3990,"2008-01-01T05:54:36.000"
35331,21125,6262,1827,3,61,183,"2008-01-01T07:25:11.000"
34838,17966,6749,1827,18,305,5490,"2008-01-01T11:22:44.000"
35426,40753,6024,1827,18,147,2646,"2008-01-01T05:36:11.000"
35544,40607,4734,1827,18,303,5454,"2008-01-01T08:02:09.000"
36572,30047,2903,1827,22,117,2574,"2008-01-01T03:54:09.000"
37400,48677,4671,1827,5,329,1645,"2008-01-01T05:54:52.000"
37483,38521,1413,1827,12,274,3288,"2008-01-01T09:14:33.000"
38195,27791,985,1827,22,26,572,"2008-01-01T06:10:36.000"
40132,27297,4078,1827,14,93,1302,"2008-01-01T07:07:49.000"
38864,26088,3313,1827,24,259,6216,"2008-01-01T08:34:54.000"
44216,9332,4476,1827,1,115,115,"2008-01-01T06:23:13.000"
39906,9866,2483,1827,14,190,2660,"2008-01-01T09:21:13.000"
45435,46960,1538,1827,24,185,4440,"2008-01-01T11:34:30.000"
41072,47324,7570,1827,18,273,4914,"2008-01-01T10:32:16.000"
51425,32371,5112,1827,10,224,2240,"2008-01-01T07:03:18.000"
43884,7362,4159,1827,7,338,2366,"2008-01-01T11:35:09.000"
56766,25043,3717,1827,24,96,2304,"2008-01-01T11:26:39.000"
45102,13005,1756,1827,18,29,522,"2008-01-01T03:53:47.000"
57663,1985,2874,1827,12,181,2172,"2008-01-01T05:24:04.000"
50346,35360,559,1827,6,63,378,"2008-01-01T08:16:29.000"
61348,34639,7598,1827,5,306,1530,"2008-01-01T03:28:41.000"
51890,10199,5739,1827,16,266,4256,"2008-01-01T07:01:36.000"
63056,9834,7074,1827,5,23,115,"2008-01-01T01:31:07.000"
53218,6426,7076,1827,14,77,1078,"2008-01-01T01:46:41.000"
63757,16250,3879,1827,10,298,2980,"2008-01-01T07:42:03.000"
56250,44499,5254,1827,2,166,332,"2008-01-01T01:25:31.000"
