"salesid","listid","sellerid","buyerid","eventid","dateid","qtysold","pricepaid","commission","saletime"
97197,110942,43282,515,7003,1827,2,708,106.2,"2008-01-01T02:30:52.000"
110328,126347,6955,394,6213,1827,1,347,52.05,"2008-01-01T01:00:19.000"
165890,222879,2186,664,6870,1827,2,4192,628.8,"2008-01-01T12:59:34.000"
65082,73790,20429,451,1150,1827,4,472,70.8,"2008-01-01T06:06:57.000"
7011,7613,5933,1503,4515,1828,1,177,26.55,"2008-01-02T01:52:35.000"
84644,96603,6051,1312,6641,1828,2,810,121.5,"2008-01-02T09:31:15.000"
97198,110942,43282,1532,7003,1828,1,354,53.1,"2008-01-02T02:31:12.000"
160330,212426,37430,447,6884,1828,4,8672,1300.8,"2008-01-02T03:20:32.000"
144048,166749,1303,617,7002,1828,1,196,29.4,"2008-01-02T03:34:14.000"
49137,55510,30285,91,674,1828,2,108,16.2,"2008-01-02T05:13:52.000"
98431,112471,33657,894,2618,1828,1,269,40.35,"2008-01-02T04:04:32.000"
7794,8410,16243,2378,6157,1829,3,603,90.45,"2008-01-03T01:18:41.000"
64256,72846,44087,508,4811,1829,2,92,13.8,"2008-01-03T05:35:58.000"
86280,98497,21024,1519,6062,1829,1,229,34.35,"2008-01-03T06:13:21.000"
69218,78722,9128,1256,942,1829,1,90,13.5,"2008-01-03T08:41:19.000"
129894,148955,9677,2009,4595,1829,1,278,41.7,"2008-01-03T10:22:32.000"
73843,84287,47181,456,3117,1829,1,244,36.6,"2008-01-03T11:32:55.000"
16536,17885,33096,1739,7443,1829,2,342,51.3,"2008-01-03T06:36:27.000"
94026,107391,27523,1236,5598,1829,1,68,10.2,"2008-01-03T09:37:11.000"
64837,73489,21131,2375,4488,1829,2,156,23.4,"2008-01-03T05:58:02.000"
108366,124037,19586,1726,801,1829,4,1616,242.4,"2008-01-03T03:01:05.000"
94780,108201,7118,112,5309,1829,2,750,112.5,"2008-01-03T11:44:23.000"
114262,130880,32868,2060,1470,1829,2,628,94.2,"2008-01-03T05:45:11.000"
102348,117095,47987,208,7424,1829,2,692,103.8,"2008-01-03T12:10:58.000"
118190,135369,12722,2051,89,1829,4,1052,157.8,"2008-01-03T05:59:37.000"
103324,118164,36611,2426,3494,1829,4,1640,246,"2008-01-03T01:38:23.000"
124458,142517,22834,2417,8737,1829,2,782,117.3,"2008-01-03T10:18:08.000"
108771,124525,28905,125,5056,1829,1,274,41.1,"2008-01-03T04:31:06.000"
