ID,Metric,Value
The KLFJustified & Ancient - Stand by the Jams,Danceability,0.617
PitbullI Know You Want Me (Calle Ocho),Danceability,0.825
Britney SpearsFrom the Bottom of My Broken Heart,Danceability,0.677
The KinksApeman - 2014 Remastered Version,Danceability,0.683
The Rolling StonesYou Can't Always Get What You Want,Danceability,0.319
Fleetwood MacDon't Stop - 2004 Remaster,Danceability,0.671
"benny blanco, Halsey, KhalidEastside (with Halsey & Khalid)",Danceability,0.56
Elton JohnSomething About The Way You Look Tonight - Edit Version,Danceability,0.48
ForeignerJuke Box Hero,Danceability,0.357
Shawn MendesMercy,Danceability,0.562
Run–D.M.C.It's Like That,Danceability,0.852
3 Doors DownHere Without You,Danceability,0.557
The MonkeesListen to the Band - Single Version,Danceability,0.26
WingsWith A Little Luck - Remastered 1993,Danceability,0.652
Ed SheeranSing,Danceability,0.818
PussycatMississippi,Danceability,0.605
NathanielFlava,Danceability,0.813
Various ArtistsBaby Sittin' Boogie - Radio Version,Danceability,0.483
Tina CharlesDr. Love,Danceability,0.736
Glee CastLandslide (Glee Cast Version) (feat. Gwyneth Paltrow),Danceability,0.637
The Soup DragonsI'm Free,Danceability,0.648
"Sam SmithWriting's On The Wall - From ""Spectre"" Soundtrack",Danceability,0.261
Suzi QuatroIf You Can't Give Me Love - 2017 Remaster,Danceability,0.667
Troye SivanTake Yourself Home,Danceability,0.364
KC & The Sunshine BandGive It Up,Danceability,0.862
Hey MondayHomecoming,Danceability,0.393
Various ArtistsFunhouse - Main Version - Clean,Danceability,0.789
Ariana GrandeDangerous Woman,Danceability,0.677
Marty WildeAbergavenny,Danceability,0.609
Brenda LeeThat's All You Gotta Do,Danceability,0.587
Deni HinesIts Alright,Danceability,0.66
T. RexMetal Guru,Danceability,0.307
Belinda CarlisleHeaven Is A Place On Earth,Danceability,0.64
John MellencampPaper In Fire,Danceability,0.607
Miley CyrusWrecking Ball,Danceability,0.466
BirdyDeep End,Danceability,0.455
ZeddStay The Night - Featuring Hayley Williams Of Paramore,Danceability,0.596
Red Hot Chili PeppersCalifornication,Danceability,0.592
QueenWe Will Rock You - Remastered 2011,Danceability,0.692
Warumpi BandMy Island Home,Danceability,0.488
Craig David7 Days,Danceability,0.659
Monte VideoShoop Shoop Diddy Wop Cumma Cumma Wang Dang,Danceability,0.706
Jarryd JamesRegardless,Danceability,0.672
C.W. McCallConvoy,Danceability,0.68
Manfred MannPretty Flamingo,Danceability,0.553
Amy WinehouseYou Know I'm No Good,Danceability,0.705
Conor MaynardTurn Around (feat. Ne-Yo),Danceability,0.59
TimbalandMorning After Dark (Featuring Nelly Furtado & SoShy),Danceability,0.734
GotyeSomebody That I Used To Know,Danceability,0.864
Yusuf / Cat StevensMatthew & Son - Stereo Version,Danceability,0.534
The EasybeatsHeaven & Hell - US Single Version,Danceability,0.483
Stevie WonderYou Are The Sunshine Of My Life,Danceability,0.471
Sam SmithToo Good At Goodbyes,Danceability,0.681
Petula ClarkYou're the One,Danceability,0.485
EminemWe Made You,Danceability,0.924
SugababesRound Round,Danceability,0.735
"Zay Hilfigerrr, Zayion McCallJuju on That Beat (TZ Anthem)",Danceability,0.807
Lady GagaPoker Face,Danceability,0.851
MadnessIt Must Be Love,Danceability,0.536
Dr. HookThe Wild Colonial Boy,Danceability,0.448
Joe JonesYou Talk Too Much,Danceability,0.719
Smash MouthCan't Get Enough Of You Baby,Danceability,0.662
Jordie IrelandOne In A Million,Danceability,0.748
Tom CochraneLife Is A Highway,Danceability,0.683
Dua LipaIDGAF,Danceability,0.836
Backstreet BoysAs Long as You Love Me,Danceability,0.804
Selena GomezCome & Get It,Danceability,0.349
Sean PaulTemperature,Danceability,0.951
Elton JohnPhiladelphia Freedom,Danceability,0.702
Flo RidaWho Dat Girl (feat. Akon),Danceability,0.719
Kasey ChambersTrue Colours,Danceability,0.704
Various ArtistsSet Adrift On Memory Bliss,Danceability,0.737
Swedish House MafiaDon't You Worry Child,Danceability,0.632
Various ArtistsColors Of The Wind - End Title,Danceability,0.574
LabrinthBeneath Your Beautiful (feat. Emeli Sandé),Danceability,0.561
The Beach BoysWouldn't It Be Nice,Danceability,0.392
SiaTogether,Danceability,0.521
"Snoop Dogg, David GuettaSweat - Remix",Danceability,0.813
Spandau BalletTrue - Single Edit,Danceability,0.742
Ed SheeranOne,Danceability,0.464
"Zedd, Alessia CaraStay",Danceability,0.69
Olly MursOh My Goodness,Danceability,0.638
David GuettaTitanium (feat. Sia),Danceability,0.604
